,cell_type,tissue
0,22Rv1,prostate gland
1,22Rv1 treated with 10 nM 17?-hydroxy-5?-androstan-3-one for 4 hours,prostate gland
2,8988T,pancreas
3,A172,brain
4,A549,lung
5,A549 treated with 0.02% ethanol for 1 hour,lung
6,A549 treated with 100 nM dexamethasone for 1 hour,lung
7,A673,musculature of body
8,ACC112,exocrine gland
9,ACHN,kidney
10,activated B cell male adult 22 years treated with 0.5 ?M CpG ODN for 24 hours,bodily fluid
11,activated CD4-positive; alpha-beta memory T cell male adult 43 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads,blood
12,activated CD4-positive; alpha-beta memory T cell male adult 43 years treated with anti-CD3 and anti-CD28 coated beads,blood
13,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour,blood
14,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour,blood
15,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL TNF-alpha for 1 hour,blood
16,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour,blood
17,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours,blood
18,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-23 for 24 hours; 100 ng/mL Interleukin-1b for 24 hours,blood
19,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-2 for 24 hours,blood
20,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours,blood
21,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-12 subunit alpha for 48 hours; 100 ng/mL Interleukin-12 subunit beta for 48 hours,blood
22,activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours,blood
