22Rv1	prostate gland
22Rv1 treated with 10 nM 17?-hydroxy-5?-androstan-3-one for 4 hours	prostate gland
8988T	pancreas
A172	brain
A549	lung
A549 treated with 0.02% ethanol for 1 hour	lung
A549 treated with 100 nM dexamethasone for 1 hour	lung
A673	musculature of body
ACC112	exocrine gland
ACHN	kidney
activated B cell male adult 22 years treated with 0.5 ?M CpG ODN for 24 hours	bodily fluid
activated CD4-positive; alpha-beta memory T cell male adult 43 years treated with 10 ng/mL Interleukin-2 ; anti-CD3 and anti-CD28 coated beads	blood
activated CD4-positive; alpha-beta memory T cell male adult 43 years treated with anti-CD3 and anti-CD28 coated beads	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL Interleukin-4 for 1 hour	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 100 ng/mL TNF-alpha for 1 hour	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 1 hour; 50 U/mL Interleukin-2 for 1 hour	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-23 for 24 hours; 100 ng/mL Interleukin-1b for 24 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-2 for 24 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 24 hours; 100 ng/mL Interleukin-4 for 24 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-12 subunit alpha for 48 hours; 100 ng/mL Interleukin-12 subunit beta for 48 hours	blood
activated CD4-positive; alpha-beta T cell female adult 33 years treated with anti-CD3 and anti-CD28 coated beads for 48 hours; 100 ng/mL Interleukin-15 for 48 hours	blood
